"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P1";"USB_Micro-B_Molex-105017-0001_round";1;"USB_micro";;;
2;"C19,C20,C21";"c_0805";3;"1nF";;;
3;"R21,R23";"r_0805";2;"0R";;;
4;"U130";"DS3231";1;"DS3231N";;;
5;"C31,C22,C24,C26,C30,C29";"c_0805";6;"100nF";;;
6;"C27";"c_2917";1;"100uF/6V3";;;
7;"R25,R24,R6,R7,R10,R11,R3";"r_0805";7;"10k";;;
8;"TP1";"BreakOutPad";1;"~RST";;;
9;"HB47,HB48";"MountingHole_3.2mm_M3_Pad_Via";2;"mtg_hole_3mm";;;
10;"HB46,HB45";"MountingHole_3.2mm_M3";2;"mtg_hole_3mm_small";;;
11;"J1";"1pin";1;"CLK_IN";;;
12;"J2";"1pin";1;"DAT_IN";;;
13;"J3";"1pin";1;"LDR1";;;
14;"J4";"1pin";1;"LDR2";;;
15;"J5";"1pin";1;"LDR3";;;
16;"J6";"1pin";1;"LDR4";;;
17;"J7";"1pin";1;"5V";;;
18;"J8";"1pin";1;"GND";;;
19;"D1";"D_SOD-123";1;"1N5819";;;
20;"D3,D4";"D_LLP1006-2L";2;"VESD05A1B";;;
21;"BT1";"CR2032_SMD2";1;"Batt_RTC";;;
22;"U132";"QFN-28-1EP_5x5mm_Pitch0.5mm";1;"CP2102N-A01-GQFN28";;;
23;"JP1";"R_0402";1;"LED_PWR_EN";;;
24;"D2";"LED-0805";1;"LED_PWR";;;
25;"S1";"SW_SMD";1;"SW-ENTER";;;
26;"S2";"SW_SMD";1;"SW-INC";;;
27;"S3";"SW_SMD";1;"EN";;;
28;"S4";"SW_SMD";1;"BOOT";;;
29;"S5";"SW_SMD";1;"SW-DEC";;;
30;"S6";"SW_SMD";1;"SW-MODE";;;
31;"R8,R9";"r_0805";2;"4K7";;;
32;"C17,C23,C25";"c_2917";3;"10uF/25V";;;
33;"C18";"c_2917";1;"22uF/25V";;;
34;"C28";"c_0805";1;"1uF/10V";;;
35;"Q1";"SOT-363_SC-70-6";1;"DDC114TU";;;
36;"R4";"r_0805";1;"1k";;;
37;"R16,R18,R22";"r_0805";3;"470R";;;
38;"R19,R20";"r_0805";2;"0R NC";;;
39;"U131";"SOT-223-3_TabPin2";1;"1117-33";;;
40;"U129";"esp_wroom_32";1;"ESP-wroom-32";;;
41;"G4,G1";"Logo-WL3";2;"LOGO_WL";;;
42;"G5,G2";"KiCad-Logo2_6mm_SilkScreen";2;"KiCad";;;
43;"G6,G3";"OSHW_6mm";2;"OSHW";;;
44;"J24";"Header_4x1";1;"I2C_ext1";;;
45;"J25";"Header_4x1";1;"I2C_ext2";;;
46;"TP2";"BreakOutPad";1;"SQR";;;
47;"TP3";"BreakOutPad";1;"32kHz";;;
48;"J17";"BreakOutPad";1;"MISO";;;
49;"J18";"BreakOutPad";1;"3V3";;;
50;"J19";"BreakOutPad";1;"SCK";;;
51;"J20";"Header_ISP";1;"SPI";;;
52;"J21";"BreakOutPad";1;"MOSI";;;
53;"J22";"BreakOutPad";1;"RST";;;
54;"J23";"BreakOutPad";1;"GND";;;
