"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"BT1";"CR2032_SMD2";1;"Batt_RTC";;;
2;"LDR1,LDR2";"r_0805_ldr_2";2;"LDR";;;
3;"S5";"SW_SMD";1;"SW-DEC";;;
4;"C17,C25,C23";"c_2917";3;"10uF/25V";;;
5;"D1";"SOT-143";1;"RClamp0854P.TCT";;;
6;"P1";"USB_Micro-B_Molex-105017-0001";1;"USB_micro";;;
7;"HB47,HB48";"MountingHole_3.2mm_M3_Pad_Via";2;"mtg_hole_3mm";;;
8;"S6";"SW_SMD";1;"SW-MODE";;;
9;"C27";"c_2917";1;"100uF/6V3";;;
10;"U132";"QFN-28-1EP_5x5mm_Pitch0.5mm";1;"CP2102N-A01-GQFN28";;;
11;"R25,R24,R11,R10,R3,R7,R6,R12,R13";"r_0805";9;"10k";;;
12;"C31,C22,C26,C24,C29,C30";"c_0805";6;"100nF";;;
13;"S4";"SW_SMD";1;"SW-BOOT";;;
14;"HB45,HB46";"MountingHole_3.2mm_M3";2;"mtg_hole_3mm_small";;;
15;"G1,G7";"Logo-WL3";2;"LOGO_WL";;;
16;"C18";"c_2917";1;"22uF/25V";;;
17;"R9,R8";"r_0805";2;"4K7";;;
18;"U131";"SOT-223-3_TabPin2";1;"1117-33";;;
19;"R23,R21";"r_0805";2;"0R";;;
20;"R22,R18,R16";"r_0805";3;"470R";;;
21;"R20,R19";"r_0805";2;"0R NC";;;
22;"R4";"r_0805";1;"1k";;;
23;"Q1";"SOT-363_SC-70-6";1;"DDC114TU";;;
24;"C28";"c_0805";1;"1uF/10V";;;
25;"C21,C20,C19";"c_0805";3;"1nF";;;
26;"TP1";"BreakOutPad";1;"~RST";;;
27;"S2";"SW_SMD";1;"SW-INC";;;
28;"U130";"DS3231";1;"DS3231N";;;
29;"S3";"SW_SMD";1;"SW-EN";;;
30;"J8";"1pin";1;"GND";;;
31;"J7";"1pin";1;"5V";;;
32;"J23";"BreakOutPad";1;"GND";;;
33;"J22";"BreakOutPad";1;"RST";;;
34;"J21";"BreakOutPad";1;"MOSI";;;
35;"J20";"Header_ISP";1;"SPI";;;
36;"J19";"BreakOutPad";1;"SCK";;;
37;"J18";"BreakOutPad";1;"3V3";;;
38;"J17";"BreakOutPad";1;"MISO";;;
39;"TP3";"BreakOutPad";1;"32kHz";;;
40;"TP2";"BreakOutPad";1;"SQR";;;
41;"J25";"Header_4x1";1;"I2C_ext2";;;
42;"J24";"Header_4x1";1;"I2C_ext1";;;
43;"G3,G9";"OSHW_6mm";2;"OSHW";;;
44;"G2,G8";"KiCad-Logo2_6mm_SilkScreen";2;"KiCad";;;
45;"J2";"1pin";1;"DAT_IN";;;
46;"J1";"1pin";1;"CLK_IN";;;
47;"JP1";"R_0402";1;"LED_PWR_EN";;;
48;"U129";"esp_wroom_32";1;"ESP-wroom-32";;;
49;"S1";"SW_SMD";1;"SW-ENTER";;;
50;"D2";"LED-0805";1;"LED_PWR";;;
51;"L1,L2";"r_0805";2;"330E";;;
